TIME_PERIOD,GEO_PICT,TOPIC,CONDITION,VIOLENCE_TYPE,PERPETRATOR,ACTUALITY,LIFEPER,OBS_VALUE
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.9
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.8
2013,CK: Cook Islands,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,6.7
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,3.3
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,1.7
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,6.7
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.8
2013,CK: Cook Islands,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,13.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,3.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,23.2
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,46.7
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,13.3
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2011,FJ: Fiji,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,18.0
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,42.2
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,25.5
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,14.0
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,9.7
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,14.1
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,13.4
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.6
2011,FJ: Fiji,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,32.0
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,3.5
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,18.9
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.2
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,3.3
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,22.4
2011,FJ: Fiji,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,5.4
2011,FJ: Fiji,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,28.7
2011,FJ: Fiji,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,10.7
2011,FJ: Fiji,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,18.4
2011,FJ: Fiji,VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,12.8
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,35.6
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,18.7
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.7
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,28.8
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,27.1
2011,FJ: Fiji,VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,9.7
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,20.9
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,5.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,41.4
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,11.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2014,FM: Micronesia (Federated States of),VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,33.2
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,49.5
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,26.7
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,10.9
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,56.1
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,44.2
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,35.7
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,13.9
2014,FM: Micronesia (Federated States of),VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,19.7
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,11.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,19.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,11.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.2
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,23.0
2014,FM: Micronesia (Federated States of),VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,8.2
2014,FM: Micronesia (Federated States of),VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,17.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,14.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,13.6
2014,FM: Micronesia (Federated States of),VAW_TOPIC_014: Impact of partner violence on women's work who work for money,W4M: Working for money,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,16.4
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,31.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,24.4
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,6.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,30.8
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,32.3
2014,FM: Micronesia (Federated States of),VAW_TOPIC_015: Impact of partner violence on the wellbeing of children,CHI614: With children 6-14 years old,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,11.6
2010,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,23.6
2019,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,59.7
2010,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,52.9
2019,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,56.9
2010,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2019,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,56.9
2010,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2019,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2010,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2019,KI: Kiribati,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
