DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,TOPIC: Topic,INDICATOR: Indicator,SEX: Sex,AGE: Age,CONDITION: Women’s condition,VIOLENCE_TYPE: Type of violence,PERPETRATOR: Perpetrator,ACTUALITY: Actuality,LIFEPER: Period of life,OUTCOME: Outcome,RESPONSE: Response,HELP_REASON: Reason for searching help,HELP_PROVIDER: Help provider,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_FRIENDS: Partner keeps her from seeing her friends,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,4.7,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_FRIENDS: Partner keeps her from seeing her friends,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,14,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_OTHMAN: Partner gets angry if she speaks with another man,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,6.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_OTHMAN: Partner gets angry if she speaks with another man,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,15.8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_UNFAITH: Partner often suspicious she is unfaithful,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_UNFAITH: Partner often suspicious she is unfaithful,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,14.7,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_WHERE: Partner insists on knowing where she is at all times,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,11.8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_006: Acts of controlling behaviours by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_WHERE: Partner insists on knowing where she is at all times,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,25.8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,NONPART: Non-partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,NONPART: Non-partner,ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,7.9,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,38.6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYSORSEX: Physical and/or sexual violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYSORSEX: Physical and/or sexual violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,NONPART: Non-partner,ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0.5,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_007: Types of violence against women by others (non-partners),NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,NONPART: Non-partner,ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,7.4,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,FAMFEM: Female family member(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,6.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,FAMFEM: Female family member(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,27.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,FAMMAL: Male family member(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,2.4,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,FAMMAL: Male family member(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,16.5,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,OTHFEM: Female other(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,OTHFEM: Female other(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,21,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,OTHMAL: Male other(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_008: Non-Partner Physical violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,PHYS: Physical violence,OTHMAL: Male other(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,2.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_009: Non-Partner Sexual violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,FAMFEM: Female family member(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_009: Non-Partner Sexual violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,FAMFEM: Female family member(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_009: Non-Partner Sexual violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,FAMMAL: Male family member(s),ALO12M: At least once in the past 12 months,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_009: Non-Partner Sexual violence by type of perpetrator,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,_T: Any,SEX: Sexual violence,FAMMAL: Male family member(s),ALOLIFE: At least once in their lifetime,SINCE15: Since the age of 15,_T: Any,_T: Any,_T: Any,_T: Any,3.6,PERCENT: percent,,,FHSS,
